"root","S","ST"
"pasture_quality",0.143829885950686,0.203480180686024
"methodology_error",0.520097454000199,0.518745874014766
"eps_dmi_dairy",0.163183332577234,0.122180130879663
"eps_dmi_beef",0.0169317600156786,0.0180604095771463
"eps_ch4_dairy",0.0800044012078149,0.0798515261494016
"eps_ch4_beef",0.007395748548406,0.0091139844955136
"log_n_dairy",0.0600195276095011,0.044407783117674
"log_n_beef",0.0144329531913182,0.00923405226093389
